"","Astrocytes","Excitatory Neurons","Inhibitory Neurons","Microglia","OPCs","Oligodendrocytes","Vascular Cells"
"Cox8b",0,1,1,0,0,0,0
"Cp",0,8,15,1,13,4,12
"Cpa2",0,3,3,0,0,0,0
"Cpa3",0,1,0,0,0,0,0
"Cpa4",0,2,0,0,0,0,0
"Cpa6",0,9,3,0,0,1,0
"Cpb1",0,0,0,0,0,0,0
"Cpd",13,20,20,12,9,16,6
"Cpe",8,9,8,6,6,8,4
"Cpeb1",7,16,14,0,5,7,1
"Cpeb2",6,14,11,3,6,11,4
"Cpeb3",4,19,16,1,2,9,0
"Cpeb4",7,10,8,1,0,5,2
"Cped1",1,14,5,0,0,1,11
"Cplane1",22,55,50,14,18,33,15
"Cplane2",1,3,1,0,0,2,0
"Cplx1",3,3,3,3,2,3,0
"Cplx2",3,3,3,2,2,3,1
"Cplx3",0,2,2,0,0,0,0
"Cpm",0,5,1,1,0,8,0
"Cpn1",0,0,1,0,0,0,0
"Cpne2",4,6,6,0,3,2,2
"Cpne3",8,14,9,4,5,7,4
"Cpne4",3,17,11,1,2,6,1
"Cpne5",2,25,15,3,3,6,1
"Cpne6",7,19,18,2,5,9,2
"Cpne7",0,13,13,0,1,1,0
"Cpne8",7,21,14,1,12,10,5
"Cpne9",1,28,8,0,0,13,0
"Cpox",4,6,4,2,2,6,2
"Cpped1",2,5,2,0,1,1,1
"Cpq",10,5,3,0,8,3,5
"Cps1",1,0,1,0,0,0,0
"Cpsf1",15,39,30,3,7,14,4
"Cpsf2",6,14,13,5,5,8,2
"Cpsf3",9,18,15,3,4,10,2
"Cpsf4",1,8,6,1,1,6,0
"Cpsf6",11,16,12,8,7,12,5
"Cpsf7",8,15,12,2,3,12,4
"Cpt1a",12,7,0,1,1,10,4
"Cpt1c",9,22,19,2,5,8,6
"Cpt2",0,0,0,0,0,1,0
"Cptp",0,2,2,0,1,1,0
"Cpvl",0,0,0,0,0,0,0
"Cpxm1",1,9,4,1,4,1,2
"Cpxm2",0,7,1,0,1,2,3
"Cr1l",10,14,14,6,8,12,7
"Cr2",0,2,5,0,0,0,1
"Crabp1",0,0,1,0,0,0,0
"Crabp2",1,1,1,0,0,0,1
"Cracd",1,20,15,0,3,6,0
"Cracdl",3,12,10,5,0,5,0
"Cracr2a",1,12,9,1,1,1,0
"Cracr2b",0,1,0,1,0,0,0
"Cradd",0,4,2,0,0,2,0
"Cramp1",4,21,17,3,6,11,3
"Crat",6,18,11,2,2,4,0
"Crb1",0,4,1,0,0,0,0
"Crb2",3,6,1,0,0,0,0
"Crb3",1,3,1,0,0,1,0
"Crbn",5,12,10,5,2,8,2
"Crcp",3,7,5,1,2,3,0
"Creb1",7,16,9,9,4,8,4
"Creb3",5,7,7,1,2,6,1
"Creb3l1",0,3,1,0,0,1,1
"Creb3l2",6,7,6,3,1,7,1
"Creb3l3",0,5,1,0,1,0,0
"Creb3l4",0,0,0,0,1,0,0
"Creb5",2,6,5,1,6,11,1
"Crebbp",24,34,29,10,15,23,12
"Crebl2",2,6,5,0,0,3,2
"Crebrf",6,15,11,4,5,8,1
"Crebzf",2,5,3,2,2,3,2
"Creg1",3,5,3,3,3,3,2
"Creg2",3,3,3,1,2,3,0
"Creld1",4,9,7,2,2,4,0
"Creld2",5,9,8,4,2,6,3
"Crem",3,17,7,2,1,4,1
"Crh",0,1,1,0,0,0,0
"Crhbp",0,1,6,0,0,0,0
"Crhr1",1,12,5,0,0,4,0
"Crhr2",0,2,2,0,0,0,0
"Crim1",8,19,8,3,1,6,4
"Crip1",4,4,4,1,0,2,4
"Crip2",3,7,4,1,1,3,1
"Crip3",0,4,1,0,1,1,0
"Cript",4,5,5,2,2,3,1
"Crispld1",2,14,11,0,0,0,3
"Crispld2",1,0,3,0,0,0,0
"Crk",1,5,3,1,0,2,0
"Crkl",1,3,2,0,1,1,0
"Crlf1",1,5,5,0,0,1,2
"Crlf2",2,9,7,2,2,2,1
"Crlf3",6,8,6,4,4,5,2
"Crls1",3,6,6,2,3,4,0
"Crmp1",2,14,13,2,0,5,0
"Crnkl1",8,13,11,4,3,9,3
"Crocc",4,39,31,3,3,8,3
"Crot",15,18,16,6,7,12,4
"Crppa",5,13,8,0,6,7,3
"Crtac1",5,15,15,3,6,8,1
"Crtam",0,0,1,0,0,0,0
"Crtap",1,7,5,2,2,1,1
"Crtc1",1,14,10,1,0,5,0
"Crtc2",3,16,11,0,5,6,0
"Crtc3",7,13,12,1,4,7,4
"Crxos",0,0,0,0,0,0,0
"Cry1",5,12,6,2,3,3,2
"Cry2",7,12,9,1,4,2,1
"Cryab",2,2,2,1,1,2,1
"Cryba1",0,0,0,0,0,0,0
"Cryba2",0,4,1,0,0,0,0
"Cryba4",0,1,0,1,0,1,0
"Crybb1",1,3,1,4,0,1,0
"Crybb3",3,6,1,0,0,0,0
"Crybg1",0,3,5,2,0,0,3
"Crybg2",0,10,3,0,0,0,1
"Crybg3",2,10,9,5,3,8,3
"Crygn",0,1,1,0,1,0,0
"Cryl1",0,9,5,3,4,2,0
"Crym",2,8,4,2,2,4,3
"Cryz",8,14,10,1,3,6,1
"Cryzl1",15,22,20,10,8,13,6
"Cryzl2",2,3,0,0,0,2,1
"Cs",5,10,9,3,4,7,1
"Csad",7,24,11,5,3,13,4
"Csdc2",2,3,3,0,1,2,1
"Csde1",12,27,23,9,8,16,9
"Cse1l",13,27,21,6,9,16,3
"Csf1",4,8,3,2,1,7,4
"Csf1r",1,13,4,20,0,13,1
"Csf2ra",4,11,7,5,3,5,1
"Csf2rb",0,0,0,1,0,0,0
"Csf2rb2",0,0,0,1,0,0,0
"Csf3r",0,3,1,7,0,1,0
"Csgalnact1",13,16,9,3,8,11,4
"Csgalnact2",2,8,6,3,1,4,1
"Csk",2,10,9,5,2,5,2
"Csmd1",10,78,55,10,24,27,6
"Csmd2",7,76,42,2,24,31,5
"Csmd3",7,79,65,28,38,43,4
"Csnk1a1",11,16,14,8,12,13,9
"Csnk1d",5,10,8,2,3,4,1
"Csnk1e",7,13,11,7,5,7,6
"Csnk1g1",12,26,20,12,10,18,5
"Csnk1g2",5,11,11,1,2,5,1
"Csnk1g3",10,15,11,2,7,9,2
"Csnk2a1",2,7,6,1,2,5,2
"Csnk2a2",9,14,12,3,7,11,3
"Csnk2b",2,7,5,1,1,4,1
"Cspg4",2,2,0,0,4,2,2
"Cspg4b",1,0,0,0,0,1,0
"Cspg5",6,6,5,3,5,4,2
"Cspp1",25,42,34,13,14,26,10
"Csrnp1",1,2,1,0,1,1,0
"Csrnp2",1,4,3,0,0,1,0
"Csrnp3",2,9,9,1,7,9,3
"Csrp1",5,5,4,0,0,5,1
"Csrp2",0,5,2,0,0,0,3
"Cst11",0,0,0,0,0,0,0
"Cst12",0,0,0,0,0,0,0
"Cst3",3,2,2,2,2,2,2
"Cst6",1,3,2,1,1,2,1
"Cst7",0,0,0,0,0,0,0
"Cstad",0,1,0,0,0,0,0
"Cstb",2,2,2,1,1,2,1
"Cstdc4",0,0,0,0,0,0,0
"Cstf1",4,5,4,1,2,2,1
"Cstf2",6,16,14,5,7,9,2
"Cstf3",4,21,10,3,2,4,3
"Cstl1",0,1,0,0,0,0,0
"Cstpp1",6,12,9,2,5,9,2
"Ct55",0,1,0,0,0,0,0
"Ctbp1",4,11,11,1,1,8,2
"Ctbp2",3,6,3,1,1,1,0
"Ctbs",7,8,4,5,3,6,2
"Ctc1",4,23,17,6,8,9,2
"Ctcf",6,14,10,4,4,8,2
"Ctcfl",0,1,1,1,0,1,0
"Ctdnep1",2,8,6,2,2,6,0
"Ctdp1",4,12,10,3,2,5,0
"Ctdsp1",3,5,3,0,0,3,0
"Ctdsp2",4,9,7,1,0,6,1
"Ctdspl",6,9,6,1,1,6,3
"Ctdspl2",8,15,12,6,7,9,5
"Ctf1",1,4,2,1,0,1,1
"Cth",6,3,4,0,0,1,0
"Cthrc1",3,4,3,0,3,2,0
"Ctif",8,12,10,0,1,8,1
"Ctla2a",0,1,1,0,0,1,1
"Ctla2b",0,0,0,0,0,0,0
"Ctla4",0,1,0,0,0,0,0
"Ctnna1",12,20,15,6,2,14,9
"Ctnna2",10,21,17,1,10,16,2
"Ctnna3",0,11,4,1,0,13,0
"Ctnnal1",10,23,15,3,6,17,2
"Ctnnb1",7,15,14,3,8,8,5
"Ctnnbip1",4,5,4,0,1,3,0
"Ctnnbl1",5,14,10,1,3,7,1
"Ctnnd1",0,0,0,0,0,0,0
"Ctnnd2",23,27,26,5,14,22,7
"Ctns",8,13,9,2,3,7,4
"Ctps",4,17,12,2,3,15,2
"Ctps2",12,30,23,12,9,15,5
"Ctr9",12,24,23,3,12,21,8
"Ctrb1",0,0,1,0,0,1,0
"Ctrl",1,2,4,0,1,2,1
"Ctsa",9,16,13,11,4,11,8
"Ctsb",9,9,9,9,7,9,5
"Ctsc",2,5,1,6,0,1,2
"Ctsd",3,3,3,3,1,3,2
"Ctsf",10,14,13,7,5,11,2
"Ctsh",0,1,1,9,0,3,4
"Ctsk",1,6,2,0,0,4,0
"Ctsl",7,7,7,6,5,6,5
"Ctso",7,6,2,3,3,4,1
"Ctss",2,7,4,8,2,6,1
"Ctsw",0,3,2,1,0,1,0
"Ctsz",4,6,3,4,3,4,1
"Cttn",6,19,15,0,1,7,2
"Cttnbp2",11,32,23,6,13,21,5
"Cttnbp2nl",3,7,5,6,5,6,3
"Ctu1",0,2,0,0,0,0,0
"Ctu2",5,19,11,2,2,5,5
"Ctxn1",0,1,1,1,0,0,1
"Ctxn2",0,2,1,0,0,0,0
"Ctxn3",0,4,1,0,0,1,1
"Cubn",0,7,0,0,0,0,4
"Cuedc1",8,11,8,0,7,7,1
"Cuedc2",4,13,9,3,3,4,3
"Cul1",13,22,20,8,8,21,6
"Cul2",12,24,20,10,10,15,5
"Cul3",11,18,15,10,9,10,7
"Cul4a",6,21,17,2,6,12,2
"Cul4b",14,20,19,6,5,11,2
"Cul5",14,25,20,8,12,17,6
"Cul7",6,21,9,1,3,2,2
"Cul9",11,40,29,5,7,20,6
"Cuta",7,10,8,6,7,6,5
"Cutal",0,0,0,0,0,0,1
"Cutc",2,9,5,1,0,4,0
"Cux1",12,39,24,9,12,16,7
"Cux2",4,30,26,3,2,14,0
"Cuzd1",0,2,1,0,0,0,0
"Cwc15",5,6,6,2,5,6,2
"Cwc22",11,24,18,2,4,14,0
"Cwc25",4,9,7,1,2,5,2
"Cwc27",9,17,14,5,7,9,1
"Cwf19l1",5,15,8,1,3,6,1
"Cwf19l2",12,19,16,8,9,12,9
"Cwh43",0,13,5,1,0,5,0
"Cx3cl1",2,4,2,0,1,2,1
"Cx3cr1",0,0,0,3,0,0,0
"Cxadr",0,9,7,1,6,3,5
"Cxcl10",0,0,0,0,0,1,0
"Cxcl11",0,1,0,0,0,0,0
"Cxcl12",1,3,2,0,3,3,3
"Cxcl13",0,1,0,0,0,0,0
"Cxcl14",4,3,3,3,3,3,1
"Cxcl16",1,0,1,2,2,1,1
"Cxcl3",0,0,0,0,0,0,0
"Cxcl5",2,3,0,0,0,0,0
"Cxcr4",0,1,0,0,0,0,0
"Cxxc1",6,15,10,5,5,9,2
"Cxxc4",1,5,5,1,1,2,1
"Cxxc5",1,1,1,1,1,1,1
"Cyb561",1,7,7,0,0,1,1
"Cyb561a3",0,6,1,1,0,1,0
"Cyb561d1",1,3,1,0,0,0,0
"Cyb561d2",1,2,0,0,1,0,0
"Cyb5a",3,5,4,3,3,3,2
"Cyb5b",3,4,2,1,2,3,2
"Cyb5d1",3,5,3,1,1,3,0
"Cyb5d2",2,3,4,0,0,2,0
"Cyb5r1",4,8,3,2,0,2,1
"Cyb5r2",0,0,0,0,0,0,0
"Cyb5r3",1,8,2,0,0,0,0
"Cyb5r4",6,16,11,2,5,8,3
"Cyb5rl",0,3,0,0,0,0,0
"Cyba",1,3,1,3,0,1,2
"Cybb",0,1,0,1,0,0,0
"Cybc1",0,10,5,0,0,2,1
"Cyc1",6,11,10,2,3,6,2
"Cycs",2,2,2,1,1,2,1
"Cyfip1",19,35,24,17,11,16,5
"Cyfip2",18,35,31,5,12,21,8
"Cygb",0,3,3,0,1,1,0
"Cyhr1",5,6,5,1,2,4,0
"Cyld",11,23,19,7,13,17,6
"Cym",0,2,1,0,0,0,0
"Cyp11a1",0,10,2,0,0,1,0
"Cyp11b1",0,1,0,0,0,0,0
"Cyp11b2",0,1,0,0,0,0,0
"Cyp17a1",0,1,0,0,0,0,0
"Cyp19a1",0,1,0,0,0,0,0
"Cyp1b1",0,0,0,0,0,0,2
"Cyp20a1",7,11,12,2,3,10,1
"Cyp24a1",0,1,0,0,0,0,0
"Cyp26a1",0,1,0,0,0,0,0
"Cyp26b1",0,2,2,0,0,0,0
"Cyp27a1",2,3,3,5,3,5,2
"Cyp27b1",0,3,2,0,0,0,0
"Cyp2a5",0,0,0,0,0,0,0
"Cyp2c55",0,0,0,0,0,0,0
"Cyp2d10",0,0,0,0,0,0,0
"Cyp2d22",7,3,3,1,1,3,2
"Cyp2d26",0,1,1,0,0,0,0
"Cyp2d34",0,0,0,0,0,0,0
"Cyp2d9",0,0,0,0,0,0,0
"Cyp2e1",0,0,0,0,0,0,0
"Cyp2f2",0,0,0,0,0,1,0
"Cyp2j11",0,0,0,0,0,0,0
"Cyp2j12",0,3,1,0,0,7,1
"Cyp2j5",0,0,0,0,0,0,0
"Cyp2j6",7,8,4,1,8,8,1
"Cyp2j8",2,2,1,0,1,0,0
"Cyp2j9",7,4,1,1,7,5,0
"Cyp2r1",0,5,2,0,0,2,0
"Cyp2s1",0,6,4,0,0,0,0
"Cyp2u1",4,5,3,1,1,3,0
"Cyp39a1",0,5,0,0,1,4,1
"Cyp3a13",0,3,1,0,2,7,0
"Cyp3a57",0,1,0,0,0,0,0
"Cyp46a1",8,14,13,2,1,7,1
"Cyp4b1",0,2,0,0,0,0,0
"Cyp4f13",8,12,7,4,2,8,2
"Cyp4f14",5,0,0,0,0,0,0
"Cyp4f15",10,2,0,0,0,2,0
"Cyp4f16",6,7,6,0,3,3,3
"Cyp4f17",5,4,3,0,3,6,3
"Cyp4f18",0,0,0,0,0,0,0
"Cyp4f37",0,0,0,0,0,0,0
"Cyp4v3",7,8,0,4,1,4,3
"Cyp4x1",1,11,6,1,1,2,0
"Cyp51",9,9,9,3,7,10,4
"Cyp7b1",4,5,4,0,1,3,1
"Cyren",0,1,0,0,0,0,0
"Cyria",9,17,15,2,8,9,1
"Cyrib",15,21,20,8,8,15,3
"Cys1",0,7,4,0,0,1,2
"Cysltr1",0,0,0,1,0,1,0
"Cysltr2",0,1,0,0,0,0,0
"Cystm1",2,4,4,0,2,3,1
"Cyth1",10,15,13,1,3,14,1
"Cyth2",8,12,8,2,1,10,1
"Cyth3",2,12,9,0,1,6,3
"Cyth4",0,1,1,8,0,1,0
"Cytip",0,0,0,1,0,0,0
"Cyyr1",0,0,0,0,0,0,2
"Czib",6,12,7,4,2,7,4
"D030056L22Rik",1,2,1,1,0,1,0
"D11Wsu47e",5,7,6,4,4,5,3
"D130040H23Rik",6,9,6,2,4,4,1
"D130043K22Rik",2,21,16,3,0,8,3
"D16Ertd472e",3,8,0,0,0,5,2
"D17H6S53E",0,2,1,1,0,0,0
"D2hgdh",1,9,4,0,0,3,1
"D3Ertd751e",5,17,12,2,4,7,3
"D430019H16Rik",0,1,1,0,0,0,0
"D430041D05Rik",5,26,19,2,0,8,2
"D5Ertd579e",2,5,4,1,4,5,3
"D630003M21Rik",5,1,0,0,0,0,0
"D630023F18Rik",0,2,1,0,0,0,0
"D630045J12Rik",1,21,11,2,5,10,0
"D6Wsu163e",5,14,9,4,2,5,3
"D7Ertd443e",1,3,2,0,0,12,0
"D830030K20Rik",0,1,2,0,0,0,0
"D8Ertd738e",2,2,2,1,1,2,0
"D930020B18Rik",2,1,1,0,0,0,0
"D930048N14Rik",0,4,2,0,0,0,1
"Daam1",23,26,25,3,16,25,12
"Daam2",22,14,12,0,0,23,1
"Dab1",13,27,19,6,9,17,4
"Dab2",7,10,6,7,9,3,6
"Dab2ip",6,20,12,2,4,4,4
"Dach1",5,8,10,0,3,1,2
"Dach2",0,6,1,0,2,6,0
"Dact1",0,4,3,0,2,1,1
"Dact2",0,4,1,0,0,1,0
"Dact3",2,3,3,1,0,2,1
"Dad1",2,2,2,1,2,2,2
"Dag1",4,8,6,0,2,3,2
"Dagla",8,20,17,2,1,6,1
"Daglb",7,17,12,8,1,6,3
"Dalrd3",8,15,12,6,4,9,4
"Dand5",0,1,1,1,0,1,0
"Dao",2,0,0,0,0,0,0
"Dap",0,1,0,0,0,0,0
"Dap3",12,18,14,6,6,13,6
"Dapk1",8,30,22,2,3,8,5
"Dapk2",0,4,0,0,0,4,0
"Dapk3",2,10,3,3,1,3,1
"Dapl1",0,1,0,0,0,0,2
"Dapp1",6,2,0,3,0,1,0
"Dars",7,16,12,5,6,13,3
"Dars2",3,13,7,2,2,4,0
"Daw1",0,2,0,0,0,0,0
"Daxx",3,7,5,4,3,4,1
"Dazap1",6,12,10,2,1,10,2
"Dazap2",2,3,3,1,0,1,0
"Dazl",1,7,4,0,0,1,0
"Dbf4",3,9,9,2,2,5,1
"Dbh",0,1,0,0,0,0,0
"Dbi",4,4,3,3,3,3,2
"Dbil5",1,1,0,0,0,0,0
"Dbn1",4,15,15,4,2,10,2
"Dbndd1",1,3,2,0,0,1,0
"Dbndd2",0,1,0,0,0,1,0
"Dbnl",5,14,11,1,2,7,0
"Dbp",3,3,2,0,1,3,1
"Dbr1",0,7,5,1,1,3,1
"Dbt",3,9,3,0,0,3,0
"Dbx2",4,2,2,0,1,2,0
"Dcaf1",8,23,20,4,7,8,3
"Dcaf10",2,7,5,2,1,5,2
"Dcaf11",1,19,15,1,0,7,0
"Dcaf12",2,8,7,3,2,7,1
"Dcaf12l1",1,2,2,0,0,1,0
"Dcaf13",6,12,10,6,5,7,3
"Dcaf15",4,12,8,3,1,4,1
"Dcaf17",6,17,12,4,3,11,3
"Dcaf4",4,13,9,1,3,6,1
"Dcaf5",1,9,7,3,1,3,0
"Dcaf6",10,28,19,8,4,16,8
"Dcaf7",4,6,6,3,0,4,1
"Dcaf8",12,14,12,7,5,11,7
"Dcakd",2,5,2,1,0,3,0
"Dcbld1",5,13,8,0,4,4,0
"Dcbld2",6,17,14,3,4,10,2
"Dcc",8,28,19,0,7,11,1
"Dcdc2a",3,8,4,0,1,2,3
"Dcdc2b",2,7,5,2,2,4,3
"Dcdc2c",0,7,1,0,0,2,0
"Dchs1",4,5,9,0,3,0,1
"Dchs2",0,9,7,0,0,0,0
"Dck",2,6,6,1,2,5,0
"Dclk1",16,26,24,7,11,18,10
"Dclk2",8,17,13,1,3,2,1
"Dclk3",0,4,1,0,0,0,0
"Dclre1a",3,11,2,3,2,2,1
"Dclre1b",0,2,2,0,0,2,0
"Dclre1c",7,22,14,11,4,10,2
"Dcn",1,3,1,0,1,1,6
"Dcp1a",3,10,5,2,4,5,2
"Dcp1b",4,12,11,4,4,6,2
"Dcp2",9,11,9,4,4,8,3
"Dcps",4,5,3,0,3,4,1
"Dcst1",0,2,0,0,0,0,0
"Dcst2",0,7,2,0,0,2,0
"Dct",0,0,0,0,0,4,0
"Dctd",3,6,1,0,0,1,1
"Dctn1",18,36,32,7,12,22,10
"Dctn2",7,14,12,1,5,6,5
"Dctn3",3,8,6,1,1,5,1
"Dctn4",8,15,8,1,4,9,4
"Dctn5",4,8,5,2,3,4,1
"Dctn6",4,8,8,2,3,6,1
"Dctpp1",1,2,2,1,0,2,0
"Dcun1d1",3,8,4,2,2,6,1
"Dcun1d2",5,13,9,2,3,4,2
"Dcun1d3",0,4,2,0,2,3,1
"Dcun1d4",5,18,11,2,2,9,0
"Dcun1d5",8,10,8,6,5,8,6
"Dcx",1,9,7,0,2,3,0
"Dcxr",6,5,2,1,0,3,1
"Dda1",2,6,6,0,1,3,1
"Ddah1",5,5,5,1,4,3,1
"Ddah2",3,2,3,2,1,3,1
"Ddb1",8,27,21,8,5,20,6
"Ddb2",5,10,4,4,2,6,1
"Ddc",0,3,2,0,0,10,1
"Ddhd1",19,22,16,1,10,12,4
"Ddhd2",14,25,20,4,9,14,5
"Ddi2",4,9,10,2,2,8,1
"Ddias",0,3,0,0,0,0,0
"Ddit3",2,4,3,1,1,2,0
"Ddit4",1,2,1,1,1,2,0
"Ddit4l",2,2,2,0,0,2,2
"Ddn",0,1,1,0,0,1,1
"Ddo",5,6,2,0,0,1,1
"Ddost",6,10,10,3,4,8,4
"Ddr1",7,15,7,0,3,16,2
"Ddr2",6,2,10,0,1,1,4
"Ddrgk1",7,12,9,2,7,9,5
"Ddx1",10,26,24,3,6,20,6
"Ddx10",11,17,16,4,5,14,4
"Ddx11",2,9,7,3,2,2,1
"Ddx17",14,16,14,10,12,14,11
"Ddx18",3,11,9,1,2,3,3
"Ddx19a",5,10,8,3,3,7,2
"Ddx19b",5,10,9,1,3,4,1
"Ddx20",3,10,6,1,1,2,1
"Ddx21",5,12,7,1,3,5,1
"Ddx23",6,17,17,3,3,10,2
"Ddx24",6,13,12,6,5,9,4
"Ddx25",3,11,11,2,1,3,2
"Ddx27",9,20,19,7,7,15,2
"Ddx31",3,19,6,3,5,4,1
"Ddx39a",4,13,9,1,5,5,2
"Ddx39b",8,15,9,7,9,10,7
"Ddx3x",12,16,17,6,7,13,6
"Ddx3y",12,18,16,8,8,15,3
"Ddx4",0,16,7,0,0,2,0
"Ddx41",7,16,15,3,8,9,6
"Ddx42",12,18,17,10,7,13,5
"Ddx43",0,11,4,10,10,3,0
"Ddx46",15,28,23,8,10,18,9
"Ddx47",6,11,11,1,6,6,2
"Ddx49",4,13,11,2,2,9,2
"Ddx5",13,15,14,13,13,14,13
"Ddx50",11,19,15,7,7,11,5
"Ddx51",3,13,9,1,2,3,0
"Ddx52",10,15,12,4,4,12,5
"Ddx54",3,19,13,3,2,8,0
"Ddx55",4,15,10,1,4,6,3
"Ddx56",7,13,10,2,2,9,1
"Ddx58",9,8,3,4,4,5,5
"Ddx59",1,5,2,0,1,2,0
"Ddx6",8,13,13,5,7,11,6
"Ddx60",2,6,3,7,6,5,5
"Deaf1",4,17,12,0,6,8,1
"Decr1",7,10,5,2,4,3,2
"Decr2",0,11,9,2,0,4,0
"Dedd",1,6,4,3,0,3,2
"Dedd2",0,5,1,0,0,2,0
"Def6",1,2,0,0,0,0,1
"Def8",3,12,8,2,1,2,0
"Defb1",0,1,0,0,0,0,0
"Defb28",0,1,0,0,0,0,0
"Degs1",2,2,2,0,1,2,0
"Dek",6,13,11,5,7,8,4
"Dele1",12,14,11,3,3,9,5
"Denn2b",9,17,16,2,3,8,6
"Dennd10",9,12,9,4,7,9,5
"Dennd11",2,8,6,1,1,7,1
"Dennd1a",16,30,19,5,10,14,5
"Dennd1b",13,27,21,6,12,13,5
"Dennd1c",0,1,2,7,0,2,0
"Dennd2a",4,14,6,0,5,6,2
"Dennd2c",0,0,0,0,1,1,0
"Dennd2d",0,0,1,0,0,0,0
"Dennd3",0,17,3,0,1,0,0
"Dennd4a",16,37,25,15,9,27,11
"Dennd4b",7,28,20,2,4,12,0
"Dennd4c",19,28,18,5,9,14,8
"Dennd5a",9,23,20,4,10,21,3
"Dennd5b",9,29,24,1,11,17,5
"Dennd6a",8,20,17,6,4,9,4
"Dennd6b",5,24,20,6,5,11,1
"Denr",5,10,7,2,5,7,4
"Depdc1a",1,3,2,0,1,0,0
"Depdc1b",0,4,2,0,1,6,0
"Depdc5",22,54,43,9,11,24,3
"Depdc7",2,5,1,1,0,5,1
"Deptor",1,8,7,0,0,2,0
"Dera",5,6,4,2,3,6,0
"Derl1",3,7,6,3,3,6,0
"Derl2",4,9,5,1,1,4,1
"Derl3",0,4,0,0,0,0,0
"Des",0,0,0,0,0,0,0
"Desi1",3,7,5,1,3,6,1
"Desi2",6,9,6,2,3,5,3
"Det1",1,4,1,0,0,1,0
"Dexi",2,4,3,0,0,0,0
"Dffa",4,5,5,1,2,4,1
"Dffb",0,5,4,0,1,3,0
"Dgat1",3,17,10,2,2,5,2
"Dgat2",2,7,8,0,1,6,0
"Dgat2l6",0,4,0,0,0,0,0
"Dgcr2",0,1,0,0,0,0,0
"Dgcr6",4,10,6,1,1,4,0
"Dgcr8",3,12,7,0,3,6,1
"Dgka",9,25,11,5,4,10,5
"Dgkb",26,30,27,5,15,17,2
"Dgkd",8,31,26,9,7,20,4
"Dgke",5,15,11,2,2,8,2
"Dgkg",1,26,20,0,4,6,1
"Dgkh",11,36,28,4,11,19,5
"Dgki",10,40,31,2,7,22,2
"Dgkk",0,0,0,0,0,0,0
"Dgkq",7,23,15,4,4,10,0
"Dgkz",13,36,29,6,6,16,4
"Dglucy",3,10,3,3,0,0,0
"Dguok",6,9,10,3,3,9,1
"Dhcr24",7,8,8,0,1,7,2
"Dhcr7",4,11,4,1,2,5,1
"Dhdds",2,12,8,0,3,5,0
"Dhdh",0,2,2,1,0,1,1
"Dhfr",3,5,3,1,2,2,1
"Dhodh",2,8,6,1,2,5,1
"Dhps",4,9,6,4,3,4,2
"Dhrs1",6,9,7,3,1,6,3
"Dhrs11",4,6,4,1,1,2,0
"Dhrs13",2,4,4,0,3,2,1
"Dhrs3",4,4,6,2,0,3,1
"Dhrs4",2,6,2,0,0,3,0
"Dhrs7",6,7,5,3,3,6,4
"Dhrs7b",2,7,4,2,2,4,1
"Dhrs7c",0,0,1,0,0,0,0
"Dhtkd1",5,13,13,2,3,4,1
"Dhx15",7,13,12,6,7,9,3
"Dhx16",3,19,12,6,3,8,6
"Dhx29",10,24,16,7,10,13,4
"Dhx30",18,34,29,7,7,18,6
"Dhx32",3,14,12,1,0,4,1
"Dhx33",4,13,7,2,1,3,1
"Dhx34",3,10,7,3,1,3,2
"Dhx35",8,20,12,2,6,10,1
"Dhx36",18,26,23,7,17,22,9
"Dhx37",2,24,13,2,3,8,2
"Dhx38",3,20,8,2,1,6,0
"Dhx40",8,18,11,2,7,13,1
"Dhx57",10,26,24,4,5,14,3
"Dhx58",1,9,4,2,2,2,1
"Dhx8",8,22,13,6,6,10,6
"Dhx9",19,30,27,22,18,23,10
"Diablo",1,1,1,0,0,0,0
"Diaph1",13,27,14,2,6,14,5
"Diaph2",24,31,26,21,12,26,15
"Diaph3",8,20,9,0,6,2,1
"Dicer1",14,33,23,5,6,25,7
"Dido1",10,20,16,5,5,10,3
"Dimt1",7,15,11,3,7,9,4
"Dio2",1,0,0,0,0,0,0
"Dip2a",11,39,32,3,8,35,1
"Dip2b",14,39,29,14,9,28,4
"Dip2c",13,40,35,4,11,21,7
"Dipk1a",3,5,4,0,3,4,2
"Dipk1c",2,0,2,0,2,0,0
"Dipk2a",2,3,2,1,0,2,1
"Diras1",0,1,1,0,0,0,1
"Diras2",0,1,1,1,0,1,0
"Dis3",12,25,22,8,10,15,7
"Dis3l",6,18,16,3,5,10,1
"Dis3l2",11,25,16,7,7,13,2
"Disc1",2,8,3,5,2,2,0
"Disp1",8,13,9,2,4,5,1
"Disp2",2,9,9,1,1,4,1
"Disp3",14,18,8,0,4,1,0
"Dixdc1",2,29,21,3,4,19,6
"Dkc1",4,15,9,2,1,7,2
"Dkk2",0,2,0,0,0,0,0
"Dkk3",5,8,5,1,1,4,2
"Dkkl1",0,5,1,0,0,1,0
"Dlat",10,14,12,4,6,9,2
"Dlc1",6,23,16,5,4,6,9
"Dld",11,14,12,3,7,12,4
"Dlec1",2,20,9,1,0,3,4
"Dleu7",0,1,1,0,0,0,0
"Dlg1",16,41,30,11,15,30,10
"Dlg2",6,41,36,10,15,30,2
"Dlg3",5,19,15,2,6,9,2
"Dlg4",9,23,17,4,3,9,1
"Dlg5",18,27,13,0,3,9,1
