"","B cells","CDIC-A","CDIC-B","CDPC","Connecting tubule cells","DCT","Dendritic cells","Endothelial cells","Mesenchymal cells","PCT","PST","Podocytes","Proximal tubule cells","T cells","T regulatory cells","Thick ascending limb (LOH)","Thin ascending limb (LOH)","Thin descending limb (LOH)"
"Efemp2",2,1,4,7,1,8,4,9,6,8,8,2,9,1,0,6,1,1
"Efhb",0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"Efhc1",0,0,0,4,0,0,0,2,4,4,4,0,3,0,0,2,0,0
"Efhc2",0,0,1,2,0,3,1,4,7,7,7,1,3,0,0,3,0,0
"Efhd1",0,1,1,2,0,2,1,3,4,3,4,1,2,0,0,3,1,0
"Efhd2",2,1,0,3,0,2,1,3,3,3,4,0,3,1,0,3,0,1
"Efl1",3,6,11,17,2,16,12,18,18,19,20,6,18,3,4,19,7,4
"Efna1",1,1,0,1,0,3,1,3,4,4,4,1,4,1,0,4,1,2
"Efna2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Efna3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Efna4",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Efna5",0,0,0,2,0,3,0,3,4,3,2,0,2,0,0,3,0,0
"Efnb1",0,0,1,1,0,1,3,2,3,3,4,0,2,0,0,3,1,0
"Efnb2",0,1,1,1,0,2,1,4,2,2,3,1,2,0,0,2,1,1
"Efnb3",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Efr3a",3,11,9,19,6,20,13,18,20,24,25,8,19,5,5,22,15,12
"Efr3b",0,0,1,2,0,4,0,1,4,2,5,1,3,0,0,3,0,0
"Efs",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Eftud2",6,5,3,11,1,16,9,20,16,18,21,4,20,4,2,19,8,4
"Egf",12,22,16,25,11,24,23,25,25,26,27,18,26,16,14,27,22,21
"Egfem1",0,2,1,5,1,6,1,5,6,6,8,3,5,0,0,7,2,0
"Egfl6",1,4,5,7,1,7,6,11,8,9,9,4,10,1,4,9,4,3
"Egfl7",3,8,5,9,4,10,8,11,10,9,10,6,10,4,5,11,7,6
"Egfl8",0,1,2,3,0,2,2,3,4,4,5,2,2,0,0,3,1,1
"Egflam",1,0,2,2,0,4,0,8,2,9,11,0,7,0,1,8,2,1
"Egfr",7,11,11,20,2,21,15,23,22,24,27,9,21,6,3,21,12,10
"Egln1",0,1,1,3,2,3,1,6,3,4,4,1,4,0,0,4,2,2
"Egln2",0,0,1,3,1,1,3,6,4,2,5,2,5,0,1,6,4,1
"Egln3",0,0,1,3,0,3,2,4,3,4,4,1,3,1,0,4,1,1
"Egr1",0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0
"Egr2",0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0
"Egr3",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Ehbp1",6,9,8,21,4,23,15,24,23,24,24,8,24,3,1,22,9,11
"Ehbp1l1",0,3,1,9,2,10,5,11,14,11,10,5,13,0,1,13,2,0
"Ehd1",0,0,1,2,0,3,1,2,4,4,5,1,4,0,1,4,0,0
"Ehd2",0,0,0,3,0,2,1,3,2,2,3,2,2,0,1,3,1,0
"Ehd3",0,1,1,3,0,4,0,4,2,4,4,0,3,1,0,4,0,2
"Ehd4",3,2,3,4,1,5,4,4,5,5,5,1,5,2,1,4,2,2
"Ehf",2,5,5,7,3,8,6,7,7,8,9,5,8,4,3,7,6,5
"Ehhadh",2,4,4,6,1,6,5,6,6,6,6,3,6,2,5,6,3,3
"Ehmt1",8,11,12,16,3,22,20,23,26,26,26,6,24,6,5,26,13,14
"Ehmt2",6,11,10,19,5,22,13,26,27,24,30,6,24,1,2,25,12,8
"Ei24",1,3,5,8,2,10,5,10,10,12,11,4,10,0,2,11,5,4
"Eif1",2,3,3,3,3,4,3,4,3,4,4,3,4,3,3,4,3,3
"Eif1a",2,2,4,4,1,5,2,5,4,5,5,2,6,3,3,4,3,3
"Eif1ad",1,3,3,4,1,3,5,5,5,5,5,3,5,1,1,5,5,1
"Eif1ax",3,5,5,6,3,6,5,6,6,6,6,5,6,5,5,6,6,6
"Eif1b",1,3,2,3,3,3,1,3,4,3,4,3,3,1,1,3,2,2
"Eif2a",4,9,8,12,4,11,7,14,13,13,13,8,13,2,5,14,7,7
"Eif2ak1",5,9,8,12,5,14,12,14,14,14,15,7,14,8,6,15,11,6
"Eif2ak2",4,8,10,12,4,16,12,15,15,14,15,5,15,2,1,14,8,6
"Eif2ak3",2,6,4,10,2,13,10,14,12,13,15,6,15,1,3,12,6,3
"Eif2ak4",6,10,9,23,3,27,13,37,32,32,33,6,32,8,4,34,8,7
"Eif2b1",0,0,0,1,0,2,2,7,5,7,6,2,4,0,0,4,2,2
"Eif2b2",0,1,1,2,0,4,1,6,3,5,6,0,5,0,1,5,1,2
"Eif2b3",3,5,4,8,3,11,7,9,10,9,10,4,10,5,3,9,8,4
"Eif2b4",5,6,7,7,3,9,8,13,12,11,13,5,12,3,4,12,6,7
"Eif2b5",5,9,7,10,2,14,10,14,12,13,14,5,15,6,6,13,4,7
"Eif2d",3,7,6,12,3,16,8,15,14,15,14,5,15,6,3,15,7,8
"Eif2s1",2,5,3,6,2,8,6,8,6,7,7,5,7,0,2,7,5,5
"Eif2s2",5,5,5,7,3,7,5,7,7,7,8,5,7,4,3,6,5,6
"Eif2s3x",2,2,2,2,1,3,2,3,3,4,4,2,2,0,1,3,4,1
"Eif2s3y",9,10,10,13,10,13,13,15,13,13,14,12,14,8,6,14,10,10
"Eif3a",13,19,20,21,14,22,21,21,22,21,22,18,22,16,15,21,21,20
"Eif3b",7,10,8,16,1,19,12,17,17,18,18,4,18,3,1,19,8,8
"Eif3c",9,15,12,18,10,18,15,20,19,19,20,13,20,14,10,20,17,13
"Eif3d",4,3,6,11,3,13,7,12,12,13,12,5,12,4,4,12,7,3
"Eif3e",6,9,10,11,7,13,12,12,13,14,14,10,13,4,8,12,8,8
"Eif3f",2,3,4,6,3,6,4,7,7,6,7,4,6,2,4,6,4,4
"Eif3g",5,5,5,8,4,9,8,10,9,9,10,6,10,3,4,10,7,6
"Eif3h",2,4,5,6,4,6,4,7,7,7,7,4,7,5,5,7,6,4
"Eif3i",5,5,6,9,4,10,8,10,9,10,10,4,10,4,5,10,5,6
"Eif3j1",2,2,3,4,1,3,4,5,5,4,4,3,4,3,3,5,4,3
"Eif3k",5,5,6,6,6,7,8,7,7,7,8,5,9,5,5,8,6,7
"Eif3l",5,3,6,11,2,11,9,12,11,11,12,4,13,3,4,11,5,4
"Eif3m",6,7,10,10,5,10,11,11,11,11,12,6,12,8,4,11,9,9
"Eif4a1",5,9,8,9,2,9,9,9,9,9,10,5,10,5,6,9,8,8
"Eif4a2",8,11,13,14,10,13,13,14,14,15,14,12,15,9,10,14,13,11
"Eif4a3",3,5,3,7,2,10,5,9,9,10,9,3,10,2,3,9,6,3
"Eif4b",4,12,11,14,8,13,11,14,14,14,14,10,14,7,4,13,12,11
"Eif4e",1,3,3,6,1,5,4,7,5,6,6,1,6,1,1,6,2,2
"Eif4e2",3,6,4,7,4,8,8,9,9,10,9,5,10,5,4,7,7,7
"Eif4e3",0,0,0,2,0,1,1,2,2,1,0,0,2,0,1,1,0,1
"Eif4ebp1",0,0,0,1,0,1,1,2,2,1,2,1,1,0,1,2,1,0
"Eif4ebp2",0,0,1,2,0,2,1,2,2,2,2,0,2,2,0,2,1,1
"Eif4enif1",3,8,9,16,3,16,11,18,18,19,20,10,19,4,3,20,13,8
"Eif4g1",16,22,22,31,13,33,23,34,36,34,35,20,36,16,15,34,24,25
"Eif4g2",18,21,20,25,18,23,22,25,22,25,24,22,24,19,14,23,22,22
"Eif4g3",10,24,23,35,11,42,30,43,41,44,46,21,45,20,6,40,30,27
"Eif4h",2,4,3,7,2,5,5,7,7,7,7,4,7,1,2,7,4,5
"Eif5",11,11,13,13,11,14,13,15,15,16,15,11,16,10,7,13,12,13
"Eif5a",3,4,5,6,2,7,6,8,10,6,6,4,6,2,2,7,5,4
"Eif5a2",1,0,0,2,0,3,1,2,4,3,3,1,1,0,0,2,0,0
"Eif5b",9,17,19,23,11,23,21,24,22,23,23,16,23,9,11,24,18,17
"Eif6",3,1,2,4,2,5,4,5,5,5,6,3,4,3,1,5,3,1
"Eipr1",2,1,1,6,1,8,3,7,8,7,8,1,7,1,0,7,3,3
"Elac1",0,0,1,1,0,0,1,1,1,1,2,0,1,0,0,2,1,0
"Elac2",2,4,5,5,0,17,6,17,15,15,20,2,10,2,0,11,5,2
"Elapor1",0,1,1,0,0,0,0,0,1,0,2,1,2,0,0,1,0,0
"Elapor2",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Elavl1",0,5,2,7,1,5,3,5,5,5,7,3,6,2,2,5,3,3
"Elavl3",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elf1",3,6,5,7,1,8,7,9,9,9,10,6,10,6,3,9,8,5
"Elf2",3,6,6,11,2,15,8,16,15,16,16,6,14,6,4,14,9,7
"Elf3",0,0,0,4,2,2,2,4,4,4,8,1,3,0,0,6,1,1
"Elf4",0,1,1,1,0,3,0,3,2,2,6,0,1,0,0,4,0,3
"Elf5",1,0,1,2,0,2,0,2,5,4,3,1,5,0,0,1,1,1
"Elfn1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elk1",1,2,0,4,0,2,2,3,3,4,4,2,3,2,0,4,1,2
"Elk3",1,0,0,4,0,4,2,3,2,4,5,1,4,0,0,4,2,0
"Elk4",1,2,2,2,1,4,4,4,4,5,4,2,4,1,1,4,2,2
"Ell",0,0,3,6,0,5,4,7,7,8,11,1,11,3,1,7,5,4
"Ell2",1,6,3,9,3,11,8,11,11,11,11,6,11,6,2,11,9,6
"Elmo1",1,3,2,8,0,10,5,12,11,10,17,3,12,0,0,9,4,6
"Elmo2",1,1,4,8,1,10,2,18,15,13,16,1,16,0,0,13,3,4
"Elmo3",3,2,5,11,2,11,5,14,13,13,17,3,18,1,2,12,3,5
"Elmod1",0,0,0,2,0,2,0,2,2,1,3,0,2,0,1,5,0,0
"Elmod2",2,0,2,6,0,6,1,6,7,6,8,0,5,1,0,8,3,3
"Elmod3",0,1,1,1,1,6,7,11,8,10,12,1,11,0,0,12,4,2
"Eln",1,2,2,4,0,5,2,12,11,8,7,0,11,0,0,13,0,1
"Eloa",3,4,5,8,2,8,7,9,8,9,10,6,10,4,3,8,5,5
"Elob",5,4,7,6,4,6,6,6,6,6,7,6,7,3,4,6,6,6
"Eloc",3,6,3,5,3,7,5,8,6,6,8,2,8,2,3,6,4,4
"Elof1",0,1,0,2,0,2,1,2,2,2,3,1,1,2,0,2,2,2
"Elovl1",0,1,2,2,1,6,2,8,5,5,8,2,4,1,1,5,1,2
"Elovl2",0,0,0,1,0,4,1,5,4,5,4,0,4,0,0,5,1,0
"Elovl4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Elovl5",0,1,4,3,0,6,4,7,7,7,7,2,6,1,1,6,3,3
"Elovl6",0,0,2,2,1,1,2,6,3,2,3,0,1,0,0,3,0,2
"Elovl7",0,3,4,6,2,8,5,7,7,7,7,2,7,3,2,8,5,3
"Elp1",0,6,5,20,4,25,12,26,24,27,30,7,22,4,4,29,7,8
"Elp2",1,7,6,16,3,17,9,19,21,19,19,6,18,2,1,16,7,8
"Elp3",0,4,5,9,0,10,6,13,13,13,14,3,14,1,0,11,4,4
"Elp4",2,8,5,9,3,10,7,11,12,9,10,3,10,5,3,10,3,7
"Elp5",3,2,4,6,0,7,7,7,7,8,9,4,8,3,1,8,4,4
"Elp6",0,1,0,1,0,3,1,3,3,6,5,1,4,1,0,3,0,1
"Emb",1,5,4,8,3,8,5,8,9,8,8,4,8,2,2,8,4,3
"Emc1",0,1,1,5,0,11,4,15,16,15,19,1,20,0,1,17,4,2
"Emc10",1,4,2,3,0,4,3,4,5,6,7,1,7,0,0,8,1,0
"Emc2",3,7,6,9,3,10,7,10,10,11,10,8,11,6,6,10,8,5
"Emc3",3,2,4,6,0,7,4,7,7,7,7,3,7,3,1,7,4,2
"Emc4",2,3,1,2,2,3,3,4,4,3,3,1,3,1,1,4,2,2
"Emc6",0,1,0,1,0,1,1,2,1,1,1,0,1,0,0,1,1,0
"Emc7",3,3,3,2,1,4,4,4,4,4,4,2,4,1,2,4,2,2
"Emc8",1,1,2,4,1,4,3,3,3,4,5,1,3,1,1,5,1,1
"Emc9",4,2,3,4,0,4,3,6,4,4,5,4,4,3,2,5,4,2
"Emcn",7,9,10,11,3,12,12,13,13,13,12,9,14,6,5,11,8,10
"Emd",0,1,2,4,2,3,1,5,4,3,4,1,4,1,0,4,2,1
"Eme1",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Eme2",0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0
"Emg1",3,3,2,7,1,4,4,5,6,5,5,2,5,1,2,6,4,2
"Emid1",0,1,0,1,0,5,4,8,6,11,10,0,5,1,0,6,0,0
"Emilin1",0,1,0,1,0,3,2,4,4,4,6,1,2,1,0,4,0,1
"Emilin2",0,0,0,0,0,0,1,1,2,1,1,0,1,0,0,4,1,0
"Eml1",0,2,2,5,2,9,3,15,12,9,12,4,9,3,2,15,3,1
"Eml2",2,1,4,6,2,7,5,12,8,16,11,2,12,1,0,12,2,4
"Eml3",1,5,3,9,0,10,8,15,14,14,18,2,12,2,4,15,4,3
"Eml4",2,9,11,17,4,17,9,18,18,20,22,9,19,5,4,20,9,8
"Eml5",10,25,29,33,10,39,30,40,40,41,45,19,43,16,8,40,36,29
"Eml6",1,5,4,18,1,23,14,30,21,25,27,7,25,2,1,29,13,5
"Emp1",0,0,0,3,0,1,1,4,3,4,4,1,2,1,0,3,1,1
"Emp2",0,2,0,3,0,4,1,4,4,3,3,0,2,0,1,2,1,1
"Emp3",3,2,2,3,1,3,3,4,4,4,4,2,4,1,1,5,2,2
"Emsy",8,13,11,19,8,23,16,26,23,27,29,9,26,12,3,24,14,12
"Emx1",0,1,0,1,0,2,1,2,2,2,1,0,2,1,0,1,2,1
"Emx2",1,2,2,2,2,3,2,2,2,3,3,2,4,2,1,3,2,2
"Enah",2,5,2,10,4,11,11,13,13,15,15,2,15,2,0,13,7,5
"Enc1",1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,1,0
"Endod1",0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0
"Endog",1,2,1,2,1,2,2,2,2,2,2,1,2,1,1,2,1,2
"Endou",1,1,1,3,0,3,3,6,3,6,3,1,4,1,0,3,1,2
"Endov",1,0,0,2,0,3,1,7,3,5,5,0,5,0,0,5,1,0
"Eng",5,11,6,12,4,12,11,14,14,15,15,5,16,3,7,15,9,7
"Engase",0,0,0,1,0,3,0,3,2,2,4,1,1,0,0,2,0,0
"Enho",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Enkd1",0,2,1,2,1,3,1,5,4,4,5,2,3,0,1,5,1,1
"Enkur",0,1,0,1,0,1,0,2,2,2,2,1,2,0,0,2,0,0
"Eno1",3,5,5,7,3,10,6,8,9,9,7,6,9,4,5,7,5,7
"Eno2",0,0,0,0,0,1,0,3,1,4,4,0,2,0,0,2,1,0
"Eno3",3,3,3,4,4,4,3,5,6,7,7,5,6,2,2,9,5,3
"Eno4",0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0
"Enoph1",0,0,1,1,0,1,1,2,3,4,1,0,2,1,0,1,0,0
"Enox1",2,3,4,6,5,10,6,17,15,12,19,1,14,1,0,20,5,3
"Enox2",4,8,7,11,1,12,8,17,15,14,17,1,15,4,2,18,7,4
"Enpep",3,3,6,15,2,15,6,19,17,17,19,5,17,4,2,16,8,8
"Enpp1",3,6,8,14,2,16,11,19,19,18,22,5,15,3,1,21,6,5
"Enpp2",14,19,18,22,13,28,20,30,28,26,28,17,26,15,8,27,21,20
"Enpp3",5,9,11,20,4,25,16,28,26,23,27,4,25,8,6,26,8,7
"Enpp4",0,1,0,0,0,1,1,1,2,3,1,0,2,0,0,3,1,1
"Enpp5",0,1,1,4,1,3,2,4,5,4,4,2,4,3,1,5,1,1
"Enpp6",1,5,2,6,3,9,5,10,9,8,8,6,8,1,2,9,7,5
"Ensa",1,3,2,4,2,3,2,3,4,3,4,1,3,1,1,4,2,3
"ENSMUSG00000121513",6,13,9,27,5,25,14,28,24,27,29,9,28,6,3,28,15,15
"Entpd1",0,2,3,5,0,6,5,8,7,8,6,3,6,0,1,8,1,2
"Entpd2",0,0,0,0,1,1,0,0,0,2,2,0,1,0,0,1,0,0
"Entpd3",0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0
"Entpd5",4,10,10,16,4,17,16,17,16,18,19,9,17,7,6,16,14,13
"Entpd6",2,1,0,5,0,3,3,3,7,3,8,2,5,1,0,6,2,0
"Entpd7",0,4,2,4,0,3,4,8,10,8,9,1,9,0,0,7,1,2
"Entpd8",1,2,2,3,1,5,3,5,2,6,5,2,7,1,1,5,1,2
"Entr1",3,5,4,9,0,10,5,11,12,12,13,2,11,5,2,12,6,4
"Ents15",0,2,0,0,0,2,2,4,3,3,4,0,2,1,0,5,2,1
"Eny2",5,7,5,8,6,9,9,10,11,10,10,8,10,7,6,9,7,7
"Eogt",3,6,7,11,2,15,8,16,15,16,18,5,17,2,4,17,7,8
"Eola1",0,0,0,0,0,1,1,1,2,1,2,0,2,0,0,1,0,1
"Eomes",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Ep300",9,12,16,27,8,30,21,29,29,30,30,15,30,11,5,27,17,16
"Ep400",9,16,15,36,5,45,28,49,46,44,50,9,49,10,8,48,21,16
"Epas1",2,4,8,13,3,13,11,15,12,14,15,5,15,4,6,15,7,7
"Epb41",12,18,17,23,8,27,20,28,25,23,30,12,23,9,7,26,19,21
"Epb41l1",5,4,7,12,2,17,8,18,20,20,21,5,17,3,2,21,7,1
"Epb41l2",3,4,7,7,3,19,10,22,20,20,24,6,24,4,2,19,7,5
"Epb41l3",7,7,10,12,1,21,7,21,16,17,20,5,19,5,1,20,12,5
"Epb41l4a",3,6,2,10,3,13,6,17,17,19,20,3,15,2,0,19,6,3
"Epb41l4b",0,1,1,6,1,8,7,12,10,11,8,3,10,1,1,12,5,4
"Epb41l5",7,10,15,19,3,19,17,20,20,19,21,12,21,6,7,21,14,14
"Epb42",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Epc1",6,9,8,11,4,13,11,14,13,15,16,8,16,6,3,13,8,9
"Epc2",4,4,8,9,5,12,9,13,12,12,13,8,14,3,2,14,6,5
"Epcam",4,6,4,8,4,8,6,8,8,8,8,6,8,5,5,8,7,5
"Epdr1",0,0,0,1,0,1,0,2,1,1,2,0,1,0,0,1,0,0
"Epg5",2,8,8,15,3,23,12,24,26,24,33,3,28,1,2,27,5,7
"Epha1",1,3,5,5,0,6,4,9,12,12,15,2,9,0,2,8,4,5
"Epha2",0,0,1,1,0,7,2,9,6,7,6,2,3,0,1,8,1,0
"Epha3",0,0,0,0,0,0,0,1,1,2,1,1,1,1,0,2,1,1
"Epha4",0,2,3,8,1,8,3,10,9,9,15,2,8,2,1,8,0,3
"Epha6",0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
"Epha7",0,1,0,3,0,5,0,7,6,6,9,2,8,1,0,5,1,0
"Ephb1",0,0,1,2,0,3,1,1,3,5,3,1,4,1,0,2,0,0
"Ephb2",0,0,1,6,1,9,3,8,6,6,9,1,7,0,0,6,3,2
"Ephb3",0,1,1,3,0,2,1,6,0,2,7,0,4,1,0,2,0,1
"Ephb4",0,5,5,10,1,11,7,16,12,15,17,4,14,0,1,14,7,2
"Ephb6",0,0,0,1,0,2,0,4,4,6,1,0,3,0,0,5,2,1
"Ephx1",1,0,3,5,1,4,2,5,6,6,6,2,6,2,0,5,2,2
"Ephx2",8,13,14,17,6,17,15,18,18,17,18,9,18,8,6,20,12,13
"Ephx3",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Ephx4",0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0
"Epm2a",0,0,0,1,0,1,0,3,1,2,1,1,2,0,0,1,0,1
"Epm2aip1",0,0,1,1,0,2,1,2,2,1,2,1,2,2,1,2,1,1
"Epn1",5,11,10,12,1,13,7,15,13,14,16,6,15,2,2,13,8,7
"Epn2",1,4,1,5,0,9,2,14,12,10,15,1,8,2,1,10,3,0
"Epn3",0,0,2,4,0,4,4,8,6,8,9,0,5,1,0,8,3,2
"Epo",0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
"Epor",0,0,0,2,0,0,0,0,0,2,1,0,3,0,0,1,1,1
"Eppk1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eprs",12,22,25,30,10,32,26,32,33,34,34,18,33,18,13,35,26,17
"Eps15",12,15,18,21,8,25,20,26,25,24,25,16,26,7,6,26,19,14
"Eps15l1",3,12,13,20,4,20,13,20,21,23,25,8,22,5,2,23,12,9
"Eps8",7,16,11,19,8,21,16,25,21,23,22,10,22,8,5,21,15,9
"Eps8l1",2,7,6,11,6,17,8,17,17,19,21,4,20,2,4,20,4,5
"Eps8l2",11,13,17,17,8,20,17,21,19,21,20,12,21,12,7,20,13,15
"Eps8l3",0,1,1,1,0,2,1,3,3,2,2,0,2,1,0,2,0,1
"Epsti1",0,4,0,1,2,3,2,11,5,4,7,2,7,1,0,5,0,1
"Epyc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eqtn",0,0,0,1,0,1,0,1,2,0,3,0,1,1,0,0,0,0
"Eral1",1,1,1,2,1,4,0,4,3,5,8,0,6,1,0,6,0,0
"Erap1",2,6,6,12,3,17,10,14,15,15,18,5,17,1,2,17,10,10
"Erbb2",2,6,4,7,0,18,6,19,19,15,22,3,20,1,1,19,4,4
"Erbb3",4,6,11,18,3,19,12,21,19,22,24,5,21,5,5,22,10,13
"Erbb4",5,5,5,18,3,18,12,25,18,21,27,6,25,6,4,25,7,14
"Erbin",17,25,22,27,12,28,24,28,30,29,31,20,29,18,14,31,23,25
"Erc1",4,11,18,20,5,20,18,21,21,22,21,10,20,11,7,21,12,11
"Erc2",7,14,10,16,5,16,15,18,17,19,20,9,19,8,6,21,10,12
"Ercc1",0,5,4,6,1,7,5,10,7,11,11,5,7,1,0,9,7,3
"Ercc2",0,2,1,8,0,9,4,11,10,12,13,0,10,1,0,9,3,1
"Ercc3",1,2,3,7,1,10,2,11,9,10,12,1,8,0,1,11,1,5
"Ercc4",2,6,4,6,3,8,6,9,11,9,8,4,9,5,3,9,6,4
"Ercc5",2,8,8,15,4,15,9,16,15,16,16,6,16,5,5,14,8,8
"Ercc6",5,8,8,13,2,17,9,21,18,17,26,9,20,4,4,21,9,6
"Ercc6l",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ercc6l2",5,5,7,13,5,13,9,16,15,17,19,8,16,5,2,17,12,4
"Ercc8",1,3,3,6,1,7,2,10,7,10,8,5,8,0,2,7,3,2
"Erf",0,0,1,1,0,2,1,3,2,2,2,0,3,1,0,3,2,1
"Erg",1,2,2,1,0,2,1,7,3,4,6,2,5,0,1,6,0,0
"Erg28",2,2,4,5,2,4,4,4,4,4,4,3,5,3,1,4,4,4
"Ergic1",2,2,4,7,1,10,4,11,9,9,11,4,10,1,1,8,2,4
"Ergic2",9,10,11,18,7,20,16,19,17,20,20,8,19,6,2,17,15,12
"Ergic3",3,8,6,10,3,11,6,13,10,12,13,3,11,3,3,12,8,8
"Erh",0,0,0,1,0,1,1,3,2,2,1,0,1,0,0,1,0,0
"Eri1",0,2,1,5,0,6,5,6,6,4,6,2,6,2,0,6,3,3
"Eri2",2,2,4,5,0,8,3,7,9,10,9,3,7,2,0,7,3,3
"Eri3",1,3,2,7,0,7,4,8,9,8,10,3,8,1,1,9,6,5
"Erich1",3,3,4,4,2,5,4,5,5,5,5,4,5,4,3,4,3,4
"Erich2",2,5,5,8,2,12,9,13,14,13,16,4,15,1,1,13,6,4
"Erich3",0,0,2,1,0,2,1,4,1,3,5,0,2,1,1,2,2,1
"Erich4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Erich5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erich6",0,1,1,1,0,2,0,3,0,2,3,0,2,0,0,2,0,0
"Erich6b",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Erlec1",7,10,12,14,8,14,11,15,16,16,17,12,15,7,6,15,10,9
"Erlin1",6,8,7,10,5,12,11,13,12,12,12,5,12,8,5,12,10,7
"Erlin2",2,4,3,9,2,12,5,12,11,13,13,2,11,5,1,12,7,3
"Ermap",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Ermard",1,2,7,7,2,9,4,14,9,16,18,3,12,2,1,13,3,2
"Ermp1",0,3,1,8,1,11,6,14,12,14,12,4,13,0,1,12,5,2
"Ern1",2,4,6,17,2,17,7,19,12,17,16,3,15,2,2,15,7,3
"Ern2",1,1,0,1,0,1,1,1,2,2,1,0,1,0,0,1,0,0
"Ero1a",2,5,6,11,2,13,6,12,12,12,14,5,11,4,0,12,5,8
"Ero1b",1,1,2,3,1,7,6,5,6,9,6,0,4,2,0,8,0,1
"Erp27",0,0,0,0,0,0,1,1,1,0,3,0,1,0,0,1,0,0
"Erp29",1,1,1,2,1,3,1,2,4,3,4,1,3,1,1,3,1,1
"Erp44",5,6,9,10,5,12,8,12,12,11,12,6,11,6,3,12,8,6
"Errfi1",3,4,4,4,2,4,4,4,5,4,4,4,4,2,3,4,4,5
"Esam",1,4,3,5,0,5,1,6,6,6,7,3,6,1,1,5,3,1
"Esco1",2,5,8,9,4,11,4,13,11,11,11,4,11,5,4,11,4,6
"Esco2",0,0,3,2,0,4,2,1,3,5,3,1,3,0,0,4,1,1
"Esd",7,8,8,9,6,9,7,9,11,10,14,7,10,8,7,12,8,9
"Esf1",5,7,8,12,4,12,11,14,12,13,13,6,13,5,4,13,9,8
"Esm1",2,1,2,2,0,2,2,2,2,2,2,2,2,2,1,2,2,2
"Espl1",0,0,0,1,0,3,0,3,2,1,3,2,2,0,0,2,1,0
"Espn",2,3,3,4,0,6,2,9,8,7,8,3,8,3,1,5,3,4
"Espnl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Esr1",2,1,2,6,0,9,2,7,8,7,8,2,6,2,0,8,4,2
"Esr2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Esrp1",0,3,1,5,0,8,6,7,4,11,12,1,10,0,0,12,4,4
"Esrp2",1,5,3,8,2,12,3,11,13,13,14,1,13,2,2,9,4,5
"Esrra",1,1,4,6,0,5,2,6,7,6,7,2,6,1,1,6,2,4
"Esrrb",0,0,0,3,1,3,2,4,5,2,3,0,3,1,0,1,1,1
"Esrrg",3,5,7,9,5,9,8,9,9,9,9,6,9,3,3,9,7,6
"Ess2",0,2,3,1,0,5,3,7,6,7,6,1,7,2,0,6,0,0
"Esyt1",1,1,2,4,1,13,3,14,10,10,14,3,15,1,0,11,3,0
"Esyt2",2,8,7,16,3,20,15,23,22,22,20,6,21,3,3,21,14,8
"Esyt3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Etaa1",2,4,3,5,2,5,5,5,5,5,5,5,5,2,1,5,4,3
